Count: 252, Range: 2025-04-24 to 2026-04-24

=== GLD Daily Historical Prices - Past 365 Days ===
Open (oldest): $306.98
Close (latest): $433.54
52-Week High: $509.70
52-Week Low: $291.78
Avg Daily Volume: 13,750,224
Daily Return Std Dev: 1.71%
Annualized Volatility: 27.20%
Avg Daily Return: 0.1510%
Period Return: 40.73%

--- CSV Data ---
Date,Open,High,Low,Close,Volume
2025-08-15,307.34,308,306.87,307.43,5990110
2025-08-18,307.79,307.89,306.63,306.95,6150140
2025-08-19,306.76,307.48,305.19,305.27,5029939
2025-08-20,307.54,308.47,307.4,308.36,6515411
2025-08-21,307.86,308.15,307.03,307.29,4809000
2025-08-22,306.52,311.02,306.43,310.58,8526500
2025-08-25,309.67,310.84,309.67,309.83,4044429
2025-08-26,310.62,312.21,310.31,312.08,11698500
2025-08-27,311.39,312.91,310.77,312.71,4320100
2025-08-28,313.32,315.08,313.07,315.03,9610202
2025-08-29,314.72,318.09,314.64,318.07,15642641
2025-09-02,320.82,325.92,320.24,325.59,21247534
2025-09-03,327.76,329.45,326.73,328.14,16062221
2025-09-04,327.03,327.56,325.35,326.69,11703127
2025-09-05,329.53,331.44,328.93,331.05,16065200
2025-09-08,333.66,335.67,333.23,334.82,18617325
2025-09-09,337.03,338.31,333.85,334.06,21641935
2025-09-10,335.73,336.5,326.19,335.26,12013931
2025-09-11,333.37,335.16,332.97,334.76,9082647
2025-09-12,335.88,336.39,335.23,335.42,9619709
2025-09-15,336.31,339.28,336.23,338.91,10569900
2025-09-16,340.09,340.88,338.62,339.59,12161527
2025-09-17,338.53,341.24,335.52,336.97,16535307
2025-09-18,336.22,336.32,333.81,335.62,14913300
2025-09-19,336.51,339.23,336.31,339.18,14982600
2025-09-22,342.75,345.07,341.84,345.05,12386419
2025-09-23,348.23,348.75,345.32,346.46,18384000
2025-09-24,346.7,346.83,342.14,343.32,12709100
2025-09-25,344.39,345.83,342.47,344.75,12639600
2025-09-26,345.83,348.25,345.31,346.74,11698212
2025-09-29,351.79,352.83,351.28,352.46,15719623
2025-09-30,351.13,355.57,350.87,355.47,13312400
2025-10-01,356.17,356.97,354.79,356.03,15573610
2025-10-02,358.26,358.67,351.4,354.79,16162100
2025-10-03,357.12,358.14,355.8,357.64,14464000
2025-10-06,362.16,365.3,361.37,364.38,17093700
2025-10-07,366.51,367.27,364.55,366.26,16836800
2025-10-08,371.65,373.57,370.5,372.3,28052300
2025-10-09,373.14,373.22,362.83,365.43,33674823
2025-10-10,367.54,370.31,365.44,369.12,24192800
2025-10-13,376.5,378.86,375.58,378.09,18514421
2025-10-14,378.21,382.38,377.9,380.79,18409632
2025-10-15,385.93,387.76,384.59,387.39,20598324
2025-10-16,391.15,396.87,390.4,396.45,33621444
2025-10-17,397.14,397.28,385.22,388.99,62025000
2025-10-20,397.45,403.3,394.2,403.15,34523022
2025-10-21,386.54,388.89,375.65,377.24,54101416
2025-10-22,372.75,378.47,368.93,377.28,30524126
2025-10-23,381.46,382.25,378.65,378.79,13695500
2025-10-24,378.51,380.77,376.81,377.52,13263803
2025-10-27,371.13,371.59,365.34,367.01,23657603
2025-10-28,361.81,365.3,360.12,364.38,19257600
2025-10-29,369.65,370.08,361.36,363,18891849
2025-10-30,365.09,370.36,364.5,370.13,14812800
2025-10-31,370.47,370.66,365.5,368.12,11077910
2025-11-03,368.91,370.84,367.54,368.78,7254300
2025-11-04,363.48,365.74,361.39,362.32,11540100
2025-11-05,366.39,367.1,364.65,366.51,8357300
2025-11-06,367.16,368.18,364.7,366.07,6891100
2025-11-07,367.94,370.42,366.42,368.31,11060400
2025-11-10,375.93,378.66,374.78,378.38,13456212
2025-11-11,379.98,380.4,376.87,379.87,10753200
2025-11-12,380.07,387.46,379.44,385.99,16203718
2025-11-13,387.29,388.18,381.21,382.87,15867900
