date,open,high,low,close,volume
2022-01-24,68.76,68.98,66.44,68.18,28801130
2022-01-25,67.12,67.92,66.8,67.12,26109300
2022-01-26,67.24,67.96,66.2,66.56,24617100
2022-01-27,67.18,67.98,66.82,67.16,22491000
2022-01-28,66.98,68.02,66.46,67.96,25025224
2022-01-31,67.56,69.32,67.42,69.26,26290000
2022-02-01,69.06,69.44,67.7,68.34,20510121
2022-02-02,68.28,69.44,68.16,69.34,22861900
2022-02-03,69.14,69.46,68.84,69.04,17144900
2022-02-04,68.44,69.1,67.8,68.48,18514600
2022-02-07,68.36,68.66,67.96,68.38,13771924
2022-02-08,68.66,68.88,68.26,68.44,19426621
2022-02-09,68.92,69.08,68.52,68.74,17615900
2022-02-10,68.06,68.38,66.84,66.98,22530023
2022-02-11,67.28,67.78,66.74,67.04,18029900
2022-02-14,67.26,67.36,65.82,66.46,18556133
2022-02-15,66.88,67.14,65.84,66.16,17087517
2022-02-16,66.24,66.58,65.66,66.3,16092300
2022-02-17,66,66.66,65.54,66.34,14579934
2022-02-18,66.12,66.78,65.92,66.22,16843509
2022-02-22,66.46,66.62,65.7,66.16,17210858
2022-02-23,66.28,66.48,64.96,65.04,17291800
2022-02-24,64.62,65.68,64.28,65.56,28660000
2022-02-25,66.14,67.66,65.98,67.58,21264120
2022-02-28,67.18,68.04,67.1,67.94,18352600
2022-03-01,67.8,68.38,66.84,67.34,16732393
2022-03-02,67.38,68.42,67.34,68.16,14629900
2022-03-03,68.44,69.7,68.38,69.36,20735614
2022-03-04,69.18,70.96,69.04,70.9,24342246
2022-03-07,71.06,71.96,70.46,71.82,30972041
2022-03-08,72,72.38,70.68,70.7,26564900
2022-03-09,71.2,71.32,70.06,70.2,25476900
2022-03-10,69.68,70.82,69.62,70.68,17019900
2022-03-11,70.78,71.26,70.36,70.44,12494214
2022-03-14,70.88,71.24,69.98,70.34,20502300
2022-03-15,71.04,71.4,70.62,71.26,14502212
2022-03-16,71.16,71.48,70.12,71.12,20005940
2022-03-17,71.16,71.94,71.02,71.42,15915221
2022-03-18,71.42,71.74,70.66,70.82,18519033
2022-03-21,70.44,71.14,70.42,70.82,18147200
2022-03-22,71.08,71.08,70.34,70.92,14643200
2022-03-23,70.84,71.42,70.48,71.02,13995000
2022-03-24,71.16,71.84,71.02,71.74,13295707
2022-03-25,72,72.82,71.84,72.78,14466704
2022-03-28,72.84,73.26,72.42,73.26,15479900
2022-03-29,73.22,73.94,73.1,73.94,19057344
2022-03-30,74,74.56,73.78,74.54,17614604
2022-03-31,74.48,75.14,74.42,74.46,17850600
2022-04-01,74.4,75.56,73.96,75.5,19006900
2022-04-04,75.2,75.2,74.16,74.92,14195500
2022-04-05,74.96,76.26,74.94,75.4,19070300
2022-04-06,75.64,76.94,75.3,76.9,28244630
2022-04-07,76.86,76.9,76,76.7,21016900
2022-04-08,76.98,77.24,76.32,76.96,17194300
2022-04-11,77.02,77.12,75.8,75.92,23167902
2022-04-12,75.7,76.6,75.44,76.2,22656900
2022-04-13,76.2,76.42,75.56,76.06,17656500
2022-04-14,76.2,76.6,75.98,76.1,14213548
2022-04-18,76.18,76.62,75.32,75.68,14939088
2022-04-19,75.9,76.32,75.68,76.18,16515200
2022-04-20,76.98,77.16,76.56,76.8,18326200
2022-04-21,76.54,76.76,75.46,75.52,18408551
2022-04-22,75.42,75.5,74.2,74.26,27341725
2022-04-25,74.52,74.56,72.52,73.74,29835900
2022-04-26,73.48,74.38,72.98,73,20553100
2022-04-27,73.06,73.74,72.42,72.66,24533994
2022-04-28,73,73.72,72.62,73.46,19951300
2022-04-29,73.14,73.28,71.16,71.26,27169100
2022-05-02,71.6,71.94,69.64,70.54,32916100
2022-05-03,70.8,71.96,70.48,70.8,21076417
2022-05-04,71.24,72.52,70.94,72.38,28290142
2022-05-05,71.9,72.5,71,71.64,27424792
2022-05-06,71.22,72.44,71.2,72.2,27680024
2022-05-09,71.78,72.4,71.08,71.68,25709712
2022-05-10,71.78,72.76,69.96,70.8,32789286
2022-05-11,70.76,72.5,70.68,71.32,36050900
2022-05-12,71.24,71.4,69.84,70.6,24946002
2022-05-13,71.2,71.54,70.3,71.44,15104512
2022-05-16,71.46,71.96,71.16,71.66,11606800
2022-05-17,71.98,72.4,70.88,72.4,14950900
2022-05-18,72.52,72.66,71.5,71.7,18728311
2022-05-19,71.36,71.86,70.54,71.54,18276100
2022-05-20,71.74,71.94,70.76,71.74,15679048
2022-05-23,72.56,72.94,71.88,72.6,13541100
2022-05-24,72.74,74.2,72.18,74.06,16155700
2022-05-25,74.14,74.24,73.52,74,13861900
2022-05-26,74.46,74.76,74.16,74.2,11645183
2022-05-27,74.16,75.38,73.84,75.38,11620628
2022-05-31,74.68,74.96,74.02,74.34,15520704
2022-06-01,74.6,74.6,73.54,74.2,11211100
2022-06-02,74.56,74.78,73.06,74.7,12519111
2022-06-03,74.4,74.82,74.2,74.34,8845600
2022-06-06,75.02,75.26,74.6,74.68,10172900
2022-06-07,74.48,75.2,74.04,75.14,9910000
2022-06-08,74.8,74.8,73.54,73.66,9985740
2022-06-09,73.62,73.98,71.84,71.9,12883800
2022-06-10,71.18,71.98,70.74,71.34,16400323
2022-06-13,70.44,70.6,67.72,68.06,26360700
2022-06-14,68.14,68.4,65.6,66.34,25671385
2022-06-15,66.94,67.8,65.96,66.78,25832439
2022-06-16,65.94,65.94,64.96,65.48,24377200
2022-06-17,65.58,66.04,64.34,64.88,21564716
2022-06-21,64.58,65.94,64.42,65.58,18633200
2022-06-22,65.24,66.76,65.2,66.28,14291100
2022-06-23,66.66,67.96,66.56,67.84,20570115
2022-06-24,68.2,69.16,67.92,69.02,15037628
2022-06-27,68.86,69.74,68.6,69.56,11638486
2022-06-28,69.8,70.34,69.22,69.32,13186151
2022-06-29,69.42,69.64,68.92,69.36,15164949
2022-06-30,68.94,70.66,68.84,70.14,18868945
2022-07-01,70.48,71.96,70.2,71.84,17128123
2022-07-05,71.7,71.74,68.32,69.4,22026800
2022-07-06,69.74,70.76,69.2,70.12,14259100
2022-07-07,70.48,70.7,69.98,70.06,8399807
2022-07-08,69.98,70.14,69.6,69.82,6282316
2022-07-11,69.56,70.38,69.4,70.26,6616503
2022-07-12,69.84,70.82,69.62,69.92,9570553
2022-07-13,69.28,70.38,69.2,69.64,19079600
2022-07-14,68.52,69.74,68.34,69.64,9462616
2022-07-15,69.7,69.86,68.56,69.76,8742209
2022-07-18,69.6,69.7,68.76,68.8,7711084
2022-07-19,69.24,69.62,69,69.24,11357797
2022-07-20,69.34,69.38,68.22,68.32,17042608
2022-07-21,68.5,68.52,67.84,68.48,13014884
2022-07-22,69.04,69.7,68.88,69.44,9771585
2022-07-25,69.32,70.32,69.14,70.3,8646000
2022-07-26,70.24,70.94,70.16,70.72,8967203
2022-07-27,70.4,70.98,70.2,70.78,10342202
2022-07-28,72.04,73.48,71.98,73.32,14857800
2022-07-29,73.18,74.26,73.18,73.96,12273800
2022-08-01,73.72,74.1,73.24,74.04,11574400
2022-08-02,74.36,74.8,73.82,73.88,11458300
2022-08-03,73.78,74.52,72.62,74.34,10980218
2022-08-04,74.38,75.04,74.14,74.5,8664175
2022-08-05,74.3,74.64,73.54,74.24,11025102
2022-08-08,74.88,75.22,73.98,74.34,8449500
2022-08-09,74.56,75.32,74.52,75.18,8107026
2022-08-10,75.52,75.68,74.96,75.5,7889300
2022-08-11,75.62,76.26,75.28,75.48,8024160
2022-08-12,76,76.74,75.84,76.72,7899400
2022-08-15,76.56,77.44,76.44,77.36,7785500
2022-08-16,77.2,77.86,77.1,77.58,7788900
2022-08-17,77.26,77.78,77.2,77.46,10643000
2022-08-18,77.52,77.98,77.46,77.74,8279500
2022-08-19,77.64,78.06,77.34,77.7,8643300
2022-08-22,77.34,77.48,76.44,76.64,13226610
2022-08-23,76.5,76.68,75.88,76.18,7873502
2022-08-24,76.08,76.52,75.88,76.42,7501140
2022-08-25,76.6,76.9,76.02,76.9,7300910
2022-08-26,76.92,77.18,75.64,75.7,8866203
2022-08-29,75.32,76.5,74.88,75.94,11238756
2022-08-30,75.92,75.98,74.56,74.84,10280511
2022-08-31,74.88,75.34,74.3,74.34,11006400
2022-09-01,74.06,75.52,74.06,75.42,14080045
2022-09-02,75.6,76.32,74.38,74.6,12768400
2022-09-06,75.02,75.84,74.6,74.8,16450203
2022-09-07,75.16,77.24,75.06,77.14,15754900
2022-09-08,76.84,77.58,76.66,77.06,12575330
2022-09-09,77.54,77.82,76.84,77.38,10590700
2022-09-12,77.6,78.22,77.34,78.12,11340300
2022-09-13,77.34,77.66,75.68,76.04,17578100
2022-09-14,76.06,77.1,75.98,76.66,11148721
2022-09-15,76.06,76.06,74.56,74.76,18055000
2022-09-16,74.48,75.06,74.34,74.48,16111225
2022-09-19,73.74,74.98,73.54,74.96,10731447
2022-09-20,74.48,74.48,73.34,73.88,11704200
2022-09-21,74.34,74.84,72.84,72.86,15230600
2022-09-22,72.8,73.1,72.22,72.6,17350400
2022-09-23,71.9,71.98,70.84,71.76,16210300
2022-09-26,71.58,71.68,69.32,70.04,17969500
2022-09-27,70.48,70.6,68.52,68.84,19143029
2022-09-28,69.66,70.02,68.74,69.6,22941309
2022-09-29,69.24,69.4,66.66,66.8,20331000
2022-09-30,67.12,67.38,65.38,65.52,22776500
2022-10-03,66.58,67.8,66.12,67.44,25447000
2022-10-04,67.9,68.92,67.48,68.86,16996514
2022-10-05,67.98,67.98,66.58,67.34,17205726
2022-10-06,67.04,67.16,65.04,65.12,25671039
2022-10-07,64.92,65.16,63.32,63.76,21083400
2022-10-10,63.9,64.64,63.78,63.88,16517800
2022-10-11,63.64,64.48,63.3,63.64,17160126
2022-10-12,63.54,63.66,61.48,61.52,20916500
2022-10-13,60.6,63.32,60.36,63.06,30714907
2022-10-14,63.72,64.18,61.84,62.16,19652926
2022-10-17,63,64.06,63,63.46,14123718
2022-10-18,64.7,64.96,63.98,64.62,16041900
2022-10-19,63.78,64.2,63.22,63.78,12843411
2022-10-20,63.8,63.8,61.86,62.16,15518500
2022-10-21,62.4,63.78,61.96,63.32,15543750
2022-10-24,63.66,64.34,63.14,63.84,10030535
2022-10-25,64.06,65.28,63.9,65.12,14201800
2022-10-26,65.48,65.8,64.82,65.1,13534606
2022-10-27,65.56,66.34,65.42,65.62,12257304
